"Nom";"Entitat";"GVA - Codi Inventari";"Estat";"Tipus";"GVA - Codi Article";"GVA - Descripció Codi Article";"Número de sèrie";"Fabricant";"Model";"Sistema operatiu - Nom";"Sistema operatiu - Versió";"GVA - Espai Destí";"GVA - Descripció Espai Destí";
"A-GRANDE (423225)";"12004217 - IES EL CAMINÀS";"10255693";"Activo > Nuevo";"Ordenador Sobremesa";"ORJ2";"ORDENADOR LLIUREX CON DVI 2019";"1720407215";"TICNOVA";"E70 SFF";"Lliurex";"21";"0602332";"SECRETARIA - NUM. * 1";
"A-PEQUE (423201)";"12004217 - IES EL CAMINÀS";"10034372";"Activo > Nuevo";"Ordenador Sobremesa";"ORJ2";"ORDENADOR LLIUREX CON DVI 2019";"1720407207";"TICNOVA";"E70 SFF";"Lliurex";"21";"0603352";"SALA DE PROFESORES - NUM. * 1";
"A105 (331703)";"12004217 - IES EL CAMINÀS";"10034382";"Activo > Nuevo";"Ordenador Sobremesa";"ORJ2";"ORDENADOR LLIUREX CON DVI 2019";"1720407532";"TICNOVA";"E70 SFF";"Lliurex";"21";"0601203";"BIBLIOTECA - NUM. * 1";
"A106 (82717)";"12004217 - IES EL CAMINÀS";"10082717";"Activo > Nuevo";"Ordenador Sobremesa";"ORJ2";"ORDENADOR LLIUREX CON DVI 2019";"1720405856";"TICNOVA";"E70 SFF";"Lliurex";"21";"0601050";"AULA MUSICA (M) - NUM. * 1";
"A107 (426363)";"12004217 - IES EL CAMINÀS";"10164828";"Activo > Nuevo";"Ordenador Sobremesa";"ORH2";"ORDENADOR DUAL 2017";"3570048AG90594";"APD";"ALDA CES1 H110M";"Lliurex";"21";"0815000";"FAMILIA D´INFORMATICA I COMUNICACIONS";
"A109 (332897)";"12004217 - IES EL CAMINÀS";"10034370";"Activo > Nuevo";"Ordenador Sobremesa";"ORJ2";"ORDENADOR LLIUREX CON DVI 2019";"1720407204";"TICNOVA";"E70 SFF";"Lliurex";"21";"0603352";"SALA DE PROFESORES - NUM. * 1";
"A110 (260250)";"12004217 - IES EL CAMINÀS";"10260250";"Activo > Nuevo";"Ordenador Sobremesa";"ORJ2";"ORDENADOR LLIUREX CON DVI 2019";"1720407219";"TICNOVA";"E70 SFF";"Lliurex";"21";"0601203";"BIBLIOTECA - NUM. * 1";
"A112 (426396)";"12004217 - IES EL CAMINÀS";"10164788";"Activo > Nuevo";"Ordenador Sobremesa";"ORH2";"ORDENADOR DUAL 2017";"3570048AG86993";"APD";"ALDA CES1 H110M";"Lliurex";"21";"0806000";"Família de Comerç i Màrqueting";
"A113 (426401)";"12004217 - IES EL CAMINÀS";"10164837";"Activo > Nuevo";"Ordenador Sobremesa";"ORH2";"ORDENADOR DUAL 2017";"3570048AG90723";"APD";"ALDA CES1 H110M";"Lliurex";"21";"0815000";"FAMILIA D´INFORMATICA I COMUNICACIONS";
"A201 (426953)";"12004217 - IES EL CAMINÀS";"10164911";"Activo > Nuevo";"Ordenador Sobremesa";"ORI3";"ORDENADOR DUAL 2018";"3580031AB02454";"APD";"ALDA CES1 H110M (B360G)";"Lliurex";"21";"0815840";"T. Sistemes microinformàtics i xarxes";
