"Nom";"Entitat";"GVA - Codi Inventari";"Estat";"Tipus";"GVA - Codi Article";"GVA - Descripció Codi Article";"Número de sèrie";"Fabricant";"Model";"GVA - Espai Destí";"GVA - Descripció Espai Destí";
"HUAWEI S5735-L24P4X-A (11832)";"12004217 - IES EL CAMINÀS";"70011832";"Activo > Nuevo";"Switch";"SWL3";"SWITCH GESTIONABLE HUAWEI 24 POE 2021";"21980109274ELC003649";"HUAWEI";"S5735-L24P4X-A";"0650470";"MATERIAL INFORMATICO CENTRO -";
"HUAWEI S5735-L24T4X-A (11833)";"12004217 - IES EL CAMINÀS";"70011833";"Activo > Nuevo";"Switch";"SWL4";"SWITCH GESTIONABLE HUAWEI 24 2021";"21980109204ELC006838";"HUAWEI";"S5735-L24T4X-A";"0650470";"MATERIAL INFORMATICO CENTRO -";
"NETGEAR Gigabit Switch GSM7324 (6680)";"12004217 - IES EL CAMINÀS";"70006680";"Activo > Nuevo";"Switch";"SW-CE";"COMPRA CENTRE O DONACIÓ - SWITCH";"1MT2885K00084";"Netgear";"Gigabit Switch GSM7324";"";"";
"SMC SMC8024L2 (6681)";"12004217 - IES EL CAMINÀS";"70006681";"Activo > Nuevo";"Switch";"SW91";"SWITCH GAMA ALTA 24 2009";"T193301579";"SMC";"SMC8024L2";"0650352";"SALA DE PROFESORES - 45 - 50 M2";
"VODAFONE MOBILE_WIFI_R219H (25856)";"12004217 - IES EL CAMINÀS";"70025856";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521000382";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25857)";"12004217 - IES EL CAMINÀS";"70025857";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521005723";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25858)";"12004217 - IES EL CAMINÀS";"70025858";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21520005625";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25859)";"12004217 - IES EL CAMINÀS";"70025859";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21524002699";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25860)";"12004217 - IES EL CAMINÀS";"70025860";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21520005080";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25861)";"12004217 - IES EL CAMINÀS";"70025861";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21520001829";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25862)";"12004217 - IES EL CAMINÀS";"70025862";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21524002183";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25863)";"12004217 - IES EL CAMINÀS";"70025863";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21524002745";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25864)";"12004217 - IES EL CAMINÀS";"70025864";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21520004912";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25865)";"12004217 - IES EL CAMINÀS";"70025865";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521002345";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25866)";"12004217 - IES EL CAMINÀS";"70025866";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21518002559";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25867)";"12004217 - IES EL CAMINÀS";"70025867";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21525003273";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25868)";"12004217 - IES EL CAMINÀS";"70025868";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21604002892";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25869)";"12004217 - IES EL CAMINÀS";"70025869";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21531003013";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25870)";"12004217 - IES EL CAMINÀS";"70025870";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521001401";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25871)";"12004217 - IES EL CAMINÀS";"70025871";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21518005133";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25872)";"12004217 - IES EL CAMINÀS";"70025872";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521001418";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25873)";"12004217 - IES EL CAMINÀS";"70025873";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521005398";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25874)";"12004217 - IES EL CAMINÀS";"70025874";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21604004926";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25875)";"12004217 - IES EL CAMINÀS";"70025875";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21531003008";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25876)";"12004217 - IES EL CAMINÀS";"70025876";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21524003345";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25877)";"12004217 - IES EL CAMINÀS";"70025877";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21603002921";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
